id,thumb_kind,captured_at,camera_type,sequence,lat,lon,width,height
909571013167383,2048,1563103128000,perspective,ljs1bF6I1VxNQtm8qAfMig,14.58152081373,120.99609205441,4000,3000
1012156050044045,2048,1712546342000,perspective,eshqyCY5PIjngmN6XVOHAw,14.583143042663,120.99789035378,3840,2160
1003404964522987,2048,1712391092000,perspective,8e0bD9VP5YICfTxtukwovp,14.556261332988,120.99851303865,3840,2160
1637898496747294,2048,1712537088000,perspective,5PxzsZUe7jWdqv1NhtSaIM,14.581762931598,120.99577506176,3840,2160
789311193298999,2048,1712391487600,perspective,p3dcN6eOSDfjubCzwhGgAF,14.556346647971,120.99662458211,3840,2160
788874145356037,2048,1563103154000,perspective,4T1NtgCI6w_aTNPRUhDO3A,14.581644737771,120.99692162757,4000,3000
1240348060746641,2048,1712545543400,perspective,s7a8DpwCreUo04zhfyxqEt,14.582717049387,120.99710899775,3840,2160
1441268316492280,2048,1712391496800,perspective,1IJWmGnODpUzifN8Vc0RFu,14.557291921357,120.99629704717,3840,2160
1859047977896177,2048,1712391484600,perspective,Jo6sFCgpwO2blPuGNETqZx,14.55645118373,120.99662657844,3840,2160
1404462113240234,2048,1536284008763,perspective,d5OpoJvqTZa7sWWKtDvEZA,14.556496790384,120.99652689214,4032,2268
379710987835526,2048,1712547042600,perspective,fgHic1C6DEjTkp4ZadUluL,14.583073409121,120.99690201062,3840,2160
3238339532964976,2048,1712545665800,perspective,3cOw9KZH0GWB1kgiC7eM8y,14.581284621022,120.99644901503,3840,2160
7645258055587244,2048,1712545733400,perspective,yAlmFBfDcsU6WjxdaLYKXM,14.582466462029,120.9972079394,3840,2160
1008778114139562,2048,1712391090000,perspective,PaI3v582jBHr40nOiekhfg,14.556284236457,120.99860497308,3840,2160
1602583017184899,2048,1712546301200,perspective,eshqyCY5PIjngmN6XVOHAw,14.581572138039,120.9983679269,3840,2160
1486316765624692,2048,1712391083000,perspective,PaI3v582jBHr40nOiekhfg,14.556319975383,120.99860802362,3840,2160
1884298908688807,2048,1712545532600,perspective,s7a8DpwCreUo04zhfyxqEt,14.583276152591,120.99642369895,3840,2160
455858437129172,2048,1712391479000,perspective,p3dcN6eOSDfjubCzwhGgAF,14.556313446638,120.99666318318,3840,2160
1313673922924978,2048,1712545548000,perspective,s7a8DpwCreUo04zhfyxqEt,14.582509378463,120.99736281397,3840,2160
7639448029516504,2048,1712537040600,perspective,MXvomqPOpGV2tI4Q7dT0bL,14.582985636222,120.99584458397,3840,2160
994788619036315,2048,1712536986600,perspective,4pFInf8tYN2HsbymULXG9K,14.582526126369,120.99496789954,3840,2160
1189031345413207,2048,1711274446140,perspective,LK2Wxka5yM4dli1FwUbIuH,14.556640972974,120.99808602084,4000,3000
416323424652101,2048,1712536970000,perspective,pe6Gtw2vFYrIPlb3nyhRgz,14.581438477071,120.99497499362,3840,2160
1009938463894091,2048,1712391094800,perspective,PaI3v582jBHr40nOiekhfg,14.556275383457,120.99860418351,3840,2160
992172118985059,2048,1712546353800,perspective,eshqyCY5PIjngmN6XVOHAw,14.583353423075,120.99814112428,3840,2160
326736836967687,2048,1712544434000,perspective,Iynal8ANDZ2pkSbeYcVEQo,14.581930840311,120.99491964281,3840,2160
462555829621953,2048,1712391071800,perspective,PaI3v582jBHr40nOiekhfg,14.556626997374,120.99855443403,3840,2160
949116465824051,2048,1563107806000,perspective,iG-FI4MZ3RjY2XHhgKliXQ,14.582802287683,120.99737111483,4000,3000
971478424656855,2048,1712536982800,perspective,4pFInf8tYN2HsbymULXG9K,14.582256283795,120.99499550624,3840,2160
928706094593755,2048,1563107844000,perspective,G_egDI2-wg7Knr1KYREL1Q,14.58280760263,120.99733956656,4000,3000
1091819038582459,2048,1712546291800,perspective,pUiYAMjXE5x9ceydTWDHhg,14.581564997132,120.99837450477,3840,2160
969381344626563,2048,1712545681800,perspective,3cOw9KZH0GWB1kgiC7eM8y,14.581673074868,120.99673498019,3840,2160
1187614869066375,2048,1712536973200,perspective,pe6Gtw2vFYrIPlb3nyhRgz,14.581545397342,120.99491038201,3840,2160
7231990653577236,2048,1712544441000,perspective,VAatp7foEW2Z40BgSrJDsj,14.582583572568,120.99489048278,3840,2160
1013941866730677,2048,1712391111000,perspective,8e0bD9VP5YICfTxtukwovp,14.556076695053,120.99860406975,3840,2160
197735088857110,2048,1563107772000,perspective,0vDp4qc82UCcPjDyg23pXw,14.583673816181,120.99839781031,4000,3000
1162146131796496,2048,1712391075800,perspective,vtl85AULefpqDu3wM7cznY,14.55649,120.998458,3840,2160
422762033850580,2048,1712391097800,perspective,vtl85AULefpqDu3wM7cznY,14.556276,120.998556,3840,2160
1492806814650591,2048,1712546292400,perspective,pUiYAMjXE5x9ceydTWDHhg,14.581570220283,120.99836954634,3840,2160
317673489794602,2048,1563107873000,perspective,cwGF7o53KN4DkmYDQmcF9A,14.581661893033,120.99713174382,4000,3000
815068273884306,2048,1712537474400,perspective,5stic7YxhKgfRyUnkAI4bL,14.58167608208,120.99701127331,3840,2160
1017272476638217,2048,1712391102000,perspective,PaI3v582jBHr40nOiekhfg,14.556157292215,120.99861164439,3840,2160
